Question Number,Question,Option A,Option B,Option C,Option D,Option E,correct_indices
55,"How many neutrons are present in an atom of ¹⁹⁷₇₉Au?","79","197","118","115","117",2
56,"The spectrum of a hydrogen atom is similar to that of:","H⁺ ion","He⁺ ion","Li⁺ ion","Na⁺ ion","none of these",1
57,"An atom of calcium ⁴⁰₂₀Ca has how many electrons in the third energy level (n=3)?","2","8","10","18","40",1
58,"Atoms with the same mass number but different atomic numbers are called:","isotones","isotopes","isobars","isomers","none of the above",2
59,"Complete the nuclear reaction ¹⁵₈O → ⁰₁e + ?","¹⁶₈O","¹⁴₈O","¹⁵₇N","¹⁴₇N","¹⁷₇O",2
60,"How many α and β particles are emitted when ²¹⁸₈₄A changes to the stable isotope ²⁰⁶₈₂B?","1α, 2β","2α, 2β","3α, 4β","3α, 2β","3α, 3β",2
61,"The curie is a measure of the:","lethal threshold for radiation exposure","number of alpha particles emitted by 1g of a substance","number of disintegrations per second of a radioactive substance","total energy absorbed by an object","all of the above",2
62,"What would be the immediate product of a neutron absorption by ¹⁰⁷Ag?","¹⁰⁷Pd","¹⁰⁹In","¹⁰⁸Cd","¹⁰⁸Ag","all of the above",3
63,"When Xenon-123 (¹²³₅₄Xe) emits a gamma ray, what is the product?","¹²³₅₄Xe","¹²³₅₃I","¹¹⁹₅₂Te","¹²³₅₅Cs","all of the above",0
64,"Predict the geometry of the H₂Se molecule using VSEPR theory. [Se is in Group 16]","Linear","bent","see-saw","tetrahedral","trigonal pyramid",1
65,"Which pair of elements has the same number of valence electrons?","helium and lithium","boron and carbon","carbon and silicon","lithium and hydrogen","sodium and neon",-1
66,"With the use of VSEPR theory, predict the geometry of BrF₃.","Bent","See-saw","Trigonal planar","Linear","Square planar",1
67,"Write the balanced equation for the nuclear reaction ⁵⁶₂₆Fe(d,α)⁵⁴₂₅Mn.","⁵⁶₂₆Fe + ²₁H → ⁴₂He + ⁵⁴₂₅Mn","⁴₂He + ⁵⁴₂₅Mn → ⁵⁶₂₆Fe + ²₁H","⁵⁶₂₆Fe + ¹₁H → ⁴₂He + ⁵⁴₂₅Mn","⁴₂He + ⁵⁴₂₅Mn → ⁵⁶₂₆Fe + ¹₁H","⁴₂He + ⁵⁴₂₅Mn → ⁵⁶₂₆Fe + ¹₀n",0
68,"Starting with a 4.00 mg sample, how much ¹⁹⁸₇₉Au remains after 7 days (168 hours), given its half-life is 64.8 hours?","0.66 mg","0.66 mg","0.25 mg","3.15 mg","1.15 mg",0
69,"How many electrons, neutrons and protons are there in ⁷⁰₃₁Ga?","31, 39, 31","30, 38, 32","39, 31, 31","38, 30, 31","32, 38, 32",0
70,"For the reaction 2NO₂(g) ⇌ 2NO(g) + O₂(g), equilibrium pressures are P_NO₂=0.55 atm, P_NO=6.5x10⁻⁵ atm, P_O₂=4.5x10⁻⁵ atm. Calculate Kp.","9.45x10⁻¹³","6.30x10⁻¹²","9.45x10⁻¹²","6.30x10⁻¹³","3.15x10⁻¹³",3
71,"Which of these is not a buffer solution?","KF/HF","C₅H₅N/C₅H₅NHCl","NaH₂PO₄/H₃PO₄","Na₂CO₃/NaHCO₃","NaClO₄/HClO₄",4
72,"Determine the mass of CO₂ produced from burning 21.5 g of ethyne C₂H₂. [C=12, H=1, O=16]","73.5 g","16.54 g","8.27 g","14.00 g","12.25 g",-1
73,"The osmotic pressure of a solution containing 0.1 g/L of a substance is 50.0 torr at 27°C. Calculate the molar mass of the substance.","37.6 g/mol","18.66 g/mol","20.55 g/mol","16.02 g/mol","180.16 g/mol",-1
74,"Calculate the pH of a buffer solution composed of 0.18 M benzoic acid and 0.20 M sodium benzoate. (Ka=6.5x10⁻⁵).","3.74","4.23","4.23","4.41","4.19",1
75,"Write the equilibrium expression for the reaction SiH₄(g) + 2Cl₂(g) ⇌ SiCl₄(g) + 2H₂(g).","K = [SiCl₄]²[H₂]/[SiH₄]²[Cl₂]","K = [SiCl₄]²[H₂]/[SiH₄][Cl₂]²","K = [SiCl₄][H₂]²/[SiH₄][Cl₂]²","K = [SiH₄][Cl₂]²/[SiCl₄][H₂]²","K = [SiH₄]²[Cl₂]/[SiCl₄]²[H₂]",2
76,"A solution of 10.0g solute in 0.1kg benzene freezes at 4.2°C. What is the molality of the solution if pure benzene freezes at 5.5°C? (kf=5.12°C·kg·mol⁻¹)","0.15 m","0.15 M","0.25 M","0.25 m","0.32 m",3
77,"At 25°C, Kc = 3.7x10⁹ for CO(g) + Cl₂(g) ⇌ COCl₂(g). Calculate Kp. (R=0.0821 L·atm·K⁻¹mol⁻¹)","1.51x10⁸","3.02x10⁸","4.50x10¹⁰","6.01x10¹⁰","9.00x10¹⁰",0
78,"Arrange in order of increasing acid strength: HCl, HBr, HF, HClO₄.","HCl>HBr>HF>HClO₄","HCl<HBr<HF<HClO₄","HF<HCl<HBr<HClO₄","HClO₄<HBr<HCl<HF","HF>HCl>HBr>HClO₄",2
79,"How many moles of nitrogen gas (N₂) are in 48 g of nitrogen? [¹⁴₇N]","6.86","3.43","6.00","1.71","3.20",3
80,"What is the molality of a solution made by dissolving 25g of I₂ in 150g of CCl₄? [I=127, C=12, Cl=35.5]","0.19 m","0.17 m","0.39 m","0.66 m","0.46 m",3
81,"Calculate the molality of a solution containing 6.59 g of glycerol (C₃H₈O₃) in 75.0 g of ethanol. [C=12, H=1, O=16]","2.54 m","9.55 m","0.955 m","1.29 m","1.54 m",2
82,"Calculate the mass of carbon in 30 g of pent-1-ene (C₅H₁₀). [C=12, H=1]","4.29 g","5.87 g","25.71 g","20.48 g","17.04 g",2
83,"Which of the following 0.10 M solutions is the most acidic?","CH₃COOH, ka=1.8x10⁻⁵","Cl₃CCOOH, ka=0.23","HCOOH, ka=1.8x10⁻⁴","Cl₂CHCOOH, ka=5.1x10⁻²","They have equal acidity.",-1
84,"Which of the following is the strongest oxidizing agent?","MnO₄⁻ in acid","MnO₄⁻ in base","MnO₂ in base","Cr₂O₇²⁻ in base","Cr₂O₇²⁻ in acid",0
85,"What volume of a 0.100 M solution of NaHCO₃ contains 0.350 g of NaHCO₃? [Na=23, C=12, O=16, H=1]","17.4 mL","41.7 mL","20.9 mL","38.3 mL","59.1 mL",1
86,"Which of the following is the strongest Brønsted acid?","H₃O⁺","HF","NH₃","NaHSO₄","NaOH",0
87,"Kp for SO₂Cl₂(g) ⇌ SO₂(g) + Cl₂(g) at 373 K is 2.65. If P(SO₂Cl₂) = 0.85 atm, calculate P(SO₂) and P(Cl₂).","1.09 atm","1.29 atm","1.40 atm","1.35 atm","1.50 atm",4
88,"Calculate the pH of a buffer that is 0.15M chloroacetic acid and 0.10M sodium chloroacetate. [Ka=1.3x10⁻³]","6.82","5.36","4.48","3.31","2.68",4
89,"Which of the following is a disproportionation reaction?","3K₂MnO₄+4HCl→2KMnO₄+MnO₂+4KCl+2H₂O","K₂Cr₂O₇+14HCl→2CrCl₃+3Cl₂+2KCl+7H₂O","2KMnO₄+3KNO₂+H₂O→2MnO₂+3KNO₃+2KOH","KIO₃+Cl₂+2KOH→KIO₄+2KCl+H₂O","none of the above",0
90,"A solution is prepared by dissolving 50.0 g CsCl in 50.0 g water. The volume is 63.3 mL. Calculate the molarity of CsCl. [Cs=133, Cl=35.5]","4.95 M","5.32 M","4.69 M","5.94 M","6.49 M",2
91,"A 3.00 L flask contains 3.50 mol HI, 4.10 mol H₂, and 0.30 mol I₂ in equilibrium. Calculate Kc for H₂(g)+I₂(g)⇌2HI(g).","9.97","0.10","7.92","8.54","10.0",-1
92,"What is the oxidation state of copper in Cu₃N₂? [N is typically -3]","+2","-2","+3","+1"," -1",-1
93,"Which of the following is the strongest Brønsted base?","OH⁻","S²⁻","O²⁻","H₂O","SH⁻",2
94,"Identify the oxidizing agent in the redox reaction: 3Mg + N₂ → Mg₃N₂.","Mg₃N₂","Mg³⁺","Mg","N₂","Mg and N₂",3
95,"Which is true about the reaction FeCl₃ + Cl⁻ ⇌ FeCl₄⁻?","FeCl₃ is a Lewis base","Cl⁻ is a Lewis acid","FeCl₃ is a Lewis acid","b & c","none of these",2
96,"Calculate the pH of a buffer that is 0.150 M in formic acid (HCOOH) and 0.100 M in sodium formate (HCOONa). Ka=1.8x10⁻⁴.","3.17","3.35","3.57","2.52","2.18",2
97,"Which of the following compounds can be a Lewis acid?","CH₄","CH₃⁻","BF₃","Cl₂","Cl⁻",2
98,"The reaction Cl₂(g)+2NaOH(aq)→NaClO(aq)+NaCl(aq)+H₂O(l) is an example of which reaction?","displacement redox reaction","decomposition redox reaction","disproportionation redox reaction","combination redox reaction","equilibrium reaction",2
99,"Calculate the solubility (mol/L) of Fe(OH)₃ (Ksp=4x10⁻³⁸) in water.","2.0x10⁻¹⁰","4.0x10⁻¹⁸","2.0x10⁻¹⁷","1.4x10⁻¹⁰","4.0x10⁻¹⁷",-1
100,"Calculate the osmotic pressure (atm) of an aqueous solution with 15 g of urea in 800 cm³ at 12°C. [Molar mass of urea=60 g/mol, R=0.0821 L·atm·K⁻¹mol⁻¹]","7.82","7.05","7.31","0.31","2.31",2
101,"Which of these is not an example of an auto-ionization reaction?","PCl₅+PCl₅⇌[PCl₄⁺][PCl₆⁻]","H₂O+H₂O⇌H₃O⁺+OH⁻","N₂H₄+NH₄⁺⇌N₂H₅⁺+NH₃","H₂SO₄+H₂SO₄⇌H₃SO₄⁺+HSO₄⁻","none of these",2
102,"Calculate the pH of a 0.060 M aqueous solution of methylamine, CH₃NH₂. [Kb=4.4x10⁻⁴]","10.83","11.69","12.31","2.31","9.62",1
103,"Which of the following compounds can be used as a Lewis base?","NH₃","NaCl","KH","HCl","CaCl₂",0
104,"Which of the following is the weakest Brønsted acid?","H₂CO₃","Al(OH)₃","H₂SO₄","HClO₄","H₃PO₄",1
105,"How many moles of butane (C₄H₁₀) are present in 0.334 g of the compound? [C=12, H=1]","0.0035 mol","0.0014 mol","0.0058 mol","0.0111 mol","0.0222 mol",2
106,"What is the oxidation state of iron in K₄[Fe(CN)₆]?","+1","+2","+3","+4","+5",1
107,"Calculate the concentration of acetic acid, C₂H₄O₂, whose pH is 2.68. [Ka=1.8x10⁻⁵]","0.65 M","0.52 M","0.26 M","0.44 M","0.36 M",2
108,"For N₂(g)+3H₂(g)⇌2NH₃(g), Kp at 500°C is 1.50x10⁻⁵. Calculate Kc.","0.5140","1.3121","0.4015","0.0514","0.0604",-1
109,"What is the oxidation state of chlorine in the perchlorate anion (ClO₄⁻)?","+1","+3","+5","+7","+9",3
110,"The equation Ce⁴⁺ + e⁻ → Ce³⁺ is an example of a:","balanced redox reaction","stoichiometric reaction","oxidation half-reaction","reduction half-reaction","none of the above",3
111,"The hydrogen ion concentration of a fruit juice is 3.3x10⁻³ M. What is the pH of the juice?","2.48","4.52","3.48","1.48","1.52",0
112,"Write the oxidation half-reaction for the redox equation CN⁻ + MnO₄⁻ → CNO⁻ + MnO₂ (in basic solution).","MnO₄⁻ → MnO₂","CN⁻ + MnO₄⁻ → CNO⁻","CN⁻ + MnO₄⁻ → CNO⁻ + MnO₂","CN⁻ → CNO⁻","MnO₄⁻ → CNO⁻ + MnO₂",3
113,"What is the pH of a 0.8 M NaOH solution that is diluted 5-fold?","13.00","13.40","13.20","12.40","12.70",-1
114,"Identify the reducing agent in the reaction: Zn + I₂ → ZnI₂.","Zn and I₂","ZnI₂ and I₂","ZnI₂","I₂","Zn",4
115,"A 4.00L gas sample at 27°C and 748mmHg is condensed into 58.0g of benzene. Calculate the freezing point of the solution. [FP of benzene=5.5°C, kf=5.12°C/m, Molar mass of gas=86.2 g/mol]","8.60°C","-8.60°C","-6.86°C","-5.12°C","5.12°C",-1
116,"Calculate the pH of a 0.050 M Ca(OH)₂ solution.","1.40","13.00","12.60","3.20","11.00",1
117,"Write the solubility product expression for calcium phosphate, Ca₃(PO₄)₂.","Ksp = [3Ca²⁺][2PO₄³⁻]","Ksp = [Ca²⁺]²[PO₄³⁻]³","Ksp = [Ca²⁺]³[PO₄³⁻]²","Ksp = [Ca²⁺][PO₄³⁻]² / [Ca₃(PO₄)₂]","Ksp = [Ca₃(PO₄)₂] / [Ca²⁺][PO₄³⁻]",2
118,"A chemical species that can accept a lone pair of electrons to form a dative bond is a","Lewis acid","Brønsted-Lowry base","Lewis base","Brønsted-Lowry acid","Arrhenius acid",0
119,"Which of these factors will not shift a system in chemical equilibrium?","change in volume","change in temperature","change in concentration","change in pressure","addition of a catalyst",4
120,"Calculate the freezing point of a solution that contains 2.00 g of ethanol (C₂H₅OH) in 50 g of water. [Kf for water=1.86°C/m, C=12, H=1, O=16].","2.33°C","-2.33°C","-1.62°C","1.62°C","-1.62°C",4
121,"Calculate the molar solubility of copper(II) iodate, Cu(IO₃)₂, in water at 25°C. [Ksp=1.4x10⁻⁷]","3.30x10⁻³ M","1.65x10⁻⁴ M","1.65x10⁻³ M","4.95x10⁻³ M","3.27x10⁻³ M",-1
122,"A colligative property depends upon the:","chemical nature of the particle","size of the particle","number of solute particles","temperature of the solution","all of the above",2
123,"For which one of the following equations will Kp equal Kc?","PCl₅(g)⇌PCl₃(g)+Cl₂(g)","COCl₂(g)⇌CO(g)+Cl₂(g)","H₂(g)+I₂(g)⇌2HI(g)","3H₂(g)+N₂(g)⇌2NH₃(g)","N₂O₄(g)⇌2NO₂(g)",2
124,"Identify the conjugate acid of NH₃ in the reaction: N₂H₄ + NH₄⁺ ⇌ N₂H₅⁺ + NH₃.","N₂H₄ and NH₄⁺","N₂H₄","NH₄⁺","N₂H₅⁺","NH₃",2
125,"A liquid boils when its vapour pressure becomes","equal to the external atmospheric pressure","equal to zero","very high","very low","equal to one hundred",0
126,"Calculate the concentration of sodium benzoate needed in a 0.20 M solution of benzoic acid (C₆H₅COOH) to produce a pH of 4.0. [Ka=6.5x10⁻⁵]","1.02 M","2.22 M","0.13 M","0.50 M","3.14 M",2
127,"The law of relative lowering of vapour pressure was given by:","Raoult","Le Châtelier","Van't Hoff","Ostwald","Henry",0
128,"When a non-volatile solute is added to a solvent, the freezing point of the solvent:","decreases","increases","becomes zero degrees","remains the same","all of the above",0
129,"Which of the following is a colligative property?","molar refractivity","optical rotation","depression of freezing point","viscosity","all of the above",2
130,"The following are either an Arrhenius acid or base except: NH₃, HBr, NaOH, Ca(OH)₂.","Ca(OH)₂","HBr","NH₃","NaOH","none of these",2


Question Number,Question,Option A,Option B,Option C,Option D,Option E,correct_indices
1,"Which of the following pairs represents isotones?","¹H and ²H","³⁹K and ⁴⁰Ca","¹⁴C and ¹⁶O","²³Ne and ²³Na","³⁵Cl and ³⁷Cl",2
2,"The europium nucleus has a charge of +63. How many electrons are there in the Eu³⁺ ion?","66","63","62","61","60",-1
3,"From the hydrides LiH, BeH₂, B₂H₆, NH₃, H₂O, and HF, which will be basic in water?","NH₃ and LiH","B₂H₆ and HF","H₂O","H₂O and HF","HF",0
4,"A gas has a volume of 241m³ at 18°C and 100400 Nm⁻² pressure. What would its volume be at STP?","1180 m³","224.04 m³","234.00 m³","230.05 m³","180.10 m³",1
5,"The mole fraction of oxygen in the atmosphere is 0.2094. Calculate the partial pressure of oxygen in air when the atmospheric pressure is 760 Torr.","1120 Torr","760 Torr","520 Torr","159 Torr","219 Torr",3
6,"Calculate the density of butane (C₄H₁₀) at a pressure of 117.4 kPa and a temperature of 125°C.","2.06 g/L","4.20 g/L","3.08 g/L","5.00 g/L","1.15 g/L",0
7,"What is the total number of orbitals associated with the principal quantum number n=3?","3","9","4","8","7",1
8,"Calculate the energy required to remove the electron from a hydrogen atom in its ground state (E₁ = -2.178 x 10⁻¹⁸ J).","2.178x10⁻¹³ J","-2.178x10⁻¹⁸ J","2.178x10¹⁸ J","-3.178x10⁻¹⁸ J","2.178x10⁻¹⁸ J",-1
9,"The simplest formula of a compound containing 50% of element X (atomic mass 10 g/mol) and 50% of element Y (atomic mass 20 g/mol) is:","XY₂","X₂Y₂","X₂Y","XY₂","XY",2
10,"Which one of the following statements about s orbitals is incorrect?","they are found in all principal energy levels","they are spherical in shape","they can only hold one electron","the maximum number of s orbitals in any principal quantum number is 1","none of the above",2
11,"What particle would be produced when plutonium-242 decays to uranium-238?","gamma","alpha","positron","beta","negatron",1
12,"What is the binding energy for a B-11 nucleus, if its mass defect is 0.08181 amu? (1 amu = 1.492x10⁻³ erg)","1.7x10⁻⁵ erg/nucleus","1.2x10⁻⁴ erg/nucleus","3.7x10⁻⁵ erg/nucleus","3.2x10⁻⁴ erg/nucleus","4.5x10⁻⁵ erg/nucleus",1
13,"Which equation represents the industrial production of hydrogen from iron and steam at elevated temperatures?","3Fe(s) + 4H₂O(g) → Fe₃O₄(s) + 3H₂(g)","2Fe(s) + 4H₂O(g) → Fe₃O₄(s) + 3H₂(g)","3Fe(s) + 3H₂O(g) → Fe₃O₄(s) + H₂(g)","3Fe(s) + 4H₂O(g) → Fe₃O₄(s) + 4H₂(g)","",3
14,"What is the number of electrons and neutrons present in a silver(I) ion, ¹⁰⁸₄₇Ag⁺?","47 and 61","46 and 60","46 and 61","47 and 62","47 and 60",2
15,"20 ml of a gas at 17°C is cooled to -13°C at constant pressure. Determine the new volume.","17.9 ml","290 ml","260 ml","270 ml","300 ml",-1
16,"The following are natural radioactive decay series except:","Polonium series","Uranium series","Thorium series","Actinium series","All of the above",0
17,"Which property increases down the group of the alkali metals?","ionization energy","atomic number","electronegativity","melting point","all of the above",1
18,"The half-life of Rn-222 is 3.825 days. Calculate the activity of 1g of Rn.","6.51x10⁻¹² g Curie","6.51x10⁻⁶ g Curie","5.32x10⁻¹² g Curie","5.32x10⁻⁶ g Curie","14.51x10⁻⁴ g Curie",-1
19,"The reaction of sodium with excess oxygen results in the formation of:","oxides","peroxides","superoxides","sesquioxides","none of the above",1
20,"How much time would it take for a sample of cobalt-60 to disintegrate so that only 2% remains? (k=0.13 yr⁻¹)","10 years","5 years","15 years","30 years","45 years",3
21,"Calculate the percentage by mass of chlorine in DDT, C₁₄H₉Cl₅. [H=1.0, C=12.0, Cl=35.5]","2.56%","38.68%","44.00%","46.56%","50.07%",4
22,"The electronic configuration for an element in the halogen group should always end with:","ns²np⁶","ns²np⁵","ns²np⁴","ns²np²","none of the above",1
23,"What is the maximum number of electrons in an atom that can have the quantum numbers n=5 and mₛ=+1/2?","6","8","10","25","32",3
24,"If it takes 1.25 minutes for 0.010 mol of He to effuse, how long will it take for the same amount of ethane gas (C₂H₆) to effuse? [H=1.0, C=12.0, He=4.0]","1.72 mins","2.74 mins","3.43 mins","3.88 mins","4.33 mins",-1
25,"What is the geometry of the molecule XeF₄?","trigonal planar","tetrahedral","square planar","trigonal bipyramid","trigonal pyramid",2
26,"Calculate the half-life of radium-226, if 1g of it emits 3.7x10¹⁰ alpha particles per second.","1000 years","200 years","1843 years","1583 years","none of the above",3
27,"The following properties generally increase across a period except:","electron affinity","ionization energy","atomic radius","electronegativity","all of the above",2
28,"Which equation depicts the formation of a phosphide from an alkali metal?","12Na + N₂ → 3Na₄N","6Ca + P₄ → 3Ca₂P₂","12Ca + N₂ → 4Ca₃N₂","12Na + P₄ → 6Na₂P₂","12Na + P₄ → 4Na₃P",4
