Question Number,Question,Option A,Option B,Option C,Option D,Option E,correct_indices
34,"Who laid the foundation for the consistent and extensive use of the binomial system of nomenclature?","De Candolle","Adolf Engler","Karl Prantl","Carolus Linnaeus","",3
35,"The two knobs used for focusing the image include fine adjustment knob and _____.","coarse adjustment knob","diaphragm","stage","objective lens","",0
36,"When the power of ocular lens is X 10 and objective lens is X 20, the magnification is _____.","X 2","X 30","X 200","X 10","",2
37,"Penicillin kills bacteria by making holes in their cell wall.","true","false","","","",0
38,"Actinomycetes are fungi.","true","false","","","",1
39,"Cyanobacteria were the first organisms on earth to do modern photosynthesis.","true","false","","","",0
40,"Both generations are conspicuous in a haplontic life cycle.","true","false","","","",1
41,"Diplontic life cycle is characterized by gametic meiosis.","true","false","","","",0
42,"Diplontic life cycle is exhibited by some green algae, brown algae and all seed bearing plants.","true","false","","","",1
43,"Algae are classified on the basis of colour/pigmentation only.","true","false","","","",0
44,"All Protists are algae.","true","false","","","",1
45,"Both green algae and land plants have chlorophyll a and b as well as carotenoids and store food as starch.","true","false","","","",0
46,"Green algae have cell walls made of carrageenan which is used in cosmetics, gelatin capsules and some cheeses.","true","false","","","",1
47,"Fungi have cell walls made of chitin.","true","false","","","",0
48,"All members of the Kingdom Protista are related phylogenetically.","true","false","","","",1
49,"In bryophytes, porous leprous plants are Hydrotrix.","true","false","","","",-1
50,"Division deuteromycota are also called “imperfect fungi” because the fungus are unhealthy.","true","false","","","",-1
51,"Mycorrhiza is a relationship of roots of Pinus and a _____.","gametophyte","fungus","alga","bacteria","",1
52,"In Pteridophytes, the main plant is _____.","gametophyte","haploid","diploid","diploid sporophyte","",3
53,"Leaves bearing sporangia are called _____.","sporophylls","pteridophylls","spores","sporophytes","",0
54,"The type of heterotrophic nutrition that occurs in animals is called _____.","commensalism","mutualistic","holozoic","symbiotic",2
55,"Weak-stemmed small plants which complete their life cycle in two growing seasons are called","climbers","shrubs","herbaceous biennials","herbs","",2
56,"The grouping into morphological techniques made up of _____.","thelodomyter","bryophytes","tracheophytes","chlorophyta","",-1
57,"Eubacteria have cell walls made up of _____.","peptidoglycan","starch","cellulose","floridean","",0
58,"Nitrogen fixation occurs in _____.","blue green algae","rhodophyta","phaeophyta","all of the above","",-1
59,"There exists a matrilinial relationship in _____.","Bryophytes","Algae","Pteridophyta","Fungi","",0
60,"Figure II relates to the Kingdom _____.","Plantae","Fungi","Protista","Monera","",0
61,"Figure III is an _____ of the division _____.","ascus; Basidiomycota","fungi; Kingdom","ascus; Fungi","ascocarp; Ascomycota","",-1
62,"The image in Figure IV is a(n) _____.","virus","fungus","bacterium","alga","",0
63,"A _____ is a sub microscopic entity consisting of a single nucleic acid surrounded by a protein coat and capable of replication only within the living cells of bacteria, animals or plants.","virus","alga","bacterium","fungi","",0
64,"_____ is a Bryophyte.","I","II","III","IV","",-1
65,"_____ is a primitive plant.","I","II","III","IV","",-1
66,"Figure IV represents _____.","Life cycle","Life cycle of alternation of generations","Viral cycle","none of the above","",2
67,"Diplontic life cycle of generations is a _____.","Haplontic","Diplontic","Haplodiplontic","alternation of generations","none of the above",-1
68,"Diplontic alternation of generations is _____.","Haplontic","Diplontic","Haplodiplontic alternation of generations","none of the above","",-1
69,"_____ is a non-living entity that acts like a living organism.","I","II","III","IV","",-1
