Question Number,Question,Option A,Option B,Option C,Option D,Option E,correct_indices
2,"A single trial of an experiment whose outcome is binary (success or a failure) can be most correctly modeled using","Bernoulli distribution","binomial distribution","geometric distribution","Poisson distribution","None of the above",0
3,"The mean (μ) and variance (σ²) of the geometric distribution are respectively:","p/q and p/q²","p and pq","p/q and p²/q","1/p and q/p²","None of the above",3
4,"Find the probability that a student will pass for the first time on the 4th sitting, assuming equal probability of passing or failing at each sitting.","0.5342","0.0862","0.0982","0.0625","None of the above",3
5,"For a large sample size, i.e. n→∞, the binomial distribution ______.","loses its discreteness","remains options not correct","","","None of the above",0
6,"Consider a Poisson distribution for tossing... the standard deviation of this distribution is:","√μ","μ²","1/μ","1/√μ","None of the above",0
7,"If X is a continuous random variable that follows a normal distribution with parameters μ and σ, then its probability density function (pdf) is given by:","1/(σ√2π) * e^(-(x-μ)/σ)","1/(σ√2π) * e^(-1/2 * (x-μ)/σ)","1/(σ√2π) * e^(-1/2 * ((x-μ)/σ))²","1/(σ√2π) * e^(-1/2 * ((x-μ)/σ)²)","None of the above",3
8,"Which of the following is an example of a discrete variable?","Number of typing errors in one page","Temperature","Number of defective parts in a vehicle","Number of students in a class","None of the above",0
9,"Identify the continuous variable among the following.","Temperature","Number of defective parts in a vehicle","Number of students in a class","Number of typing errors","None of the above",0
10,"Simplify the factorial expression (n+3)! / (n+1)!","n!","(n²+5n+6)","1/(n²+3n+6)","(n²+5n-6)","None of the above",1
11,"Find the probability that a word chosen from all the possible permutations of the word ""EXAM"" starts with the letter 'X'.","0.125","0.25","0.667","0.123","None of the above",1
12,"In how many ways can we select 6 people out of 10, if a particular person is never included in the selection?","¹⁰C₆","⁹C₅","⁹C₆","¹⁰C₅","None of the above",2
13,"In how many ways can the letters of the word MONOPOLY be arranged?","6720","1680","280","40320","None of the above",0
14,"If the occurrences of two events rules out the occurrence of another event, the events are called","independent events","impossible events","mutually exclusive events","None of the above","",2
15,"The act of performing a sample trial that results in an outcome in a random process is called a(n) ______.","trial","success","sample space","event","None of the above",0
16,"Given any event A, which of the following is not an axiom of probability?","P(A) ≥ 0","P(S) = 1","P(A') = 1 - P(A)","If A∩B=∅, then P(A∪B)=P(A)+P(B)","None of the above",2
17,"Which of the following distributions applies to a discrete random variable?","Exponential distribution","Rayleigh distribution","Poisson distribution","Gaussian distribution","None of the above",2
18,"A table with all possible values of a random variable and their corresponding probabilities is called","Probability Mass Function","Probability Density Function","Cumulative Distribution Function","Probability Distribution","None of the above",0
19,"If a fair coin is tossed three times, what is the probability of getting at least two heads?","3/8","1/4","1/2","5/8","None of the above",2
20,"Find the probability of choosing a 4-digit ATM pin with distinct digits, from all the possible 4-digit pins.","0.504","0.021","0.45","0.18","None of the above",0
21,"Of all the possible ways of forming a 3-man committee from 5 men, what is the probability that a particular man will always be in the committee?","0.6","0.2","0.4","0.8","None of the above",0
22,"Given P(A)≥0, P(S)=1, P(A∪B)=P(A)+P(B) for disjoint A and B. Which is a correct property of probability?","P(A∪B) = P(A)+P(B)","P(A|B)=P(B|A)","P(A∩B)=P(A)P(B)","P(B)P(A|B)=P(A)P(B|A)","None of the above",3
23,"Which of the following is the correct sample space for the number of eggs laid per day in a small poultry?","{0, 1, 2, 3, ...}","(0, 1, 2, 3, ...)","(0, 1]","xx > 0","None of the above",0
24,"Which of the following is the correct formula for P(A∪B)?","P(A)+P(B) if A and B are independent","P(A)P(B)","P(A)+P(B)-P(A∩B)","P(A∩B)","None of the above",2
25,"If a data set has a geometric distribution with mean=μ, then _______.","mean = median = mode","the data set follows a ______ distribution","a binomial","a Poisson","None of the above",-1
26,"Which of the following distributions is characterized by equal mean and variance?","normal","Poisson","binomial","geometric","None of the above",1
27,"A bag contains 5 red and 4 green balls. 2 balls are picked one after the other, without replacement. What is the probability that they are both green?","5/9","1/6","20/81","5/8","None of the above",1
28,"A bag contains 5 red and 4 green balls. 2 balls are picked one after the other, without replacement. What is the probability that they are of different colours?","5/9","20/81","4/9","4/8","None of the above",0
29,"From Table L1, find the probability that a randomly selected student likes Vanilla and is a female.","0.2043","0.3024","0.4032","0.2202","None of the above",3
30,"From Table L1, find the probability that a student picked is a male, given that he likes Chocolate.","0.7432","0.7324","0.8305","0.3474","None of the above",2
31,"From Table L1, find the probability that a randomly selected student likes Others and is a male.","0.0824","0.1245","0.1432","0.0583","None of the above",-1
32,"What is the probability that in a family of 4 children, exactly 2 are boys?","0.3413","1/4","2/8","0.375","None of the above",3
33,"What is the probability that in a family of 4 children, they are all boys or all girls?","1/4","1/8","15/16","None of the above","",1
34,"Find P(X>1) if X is a binomial random variable with n=4 and p=½.","1/16","1/4","7/8","11/16","None of the above",3
35,"What is the probability that the student in Problem L1 finds his tribesman as the third person he asked?","0.926","0.096","0.096","0.6","0.7",2
36,"What is the probability that the student in Problem L1 finds his tribesman as the first person he asked?","0.4","0.5","0.096","0.6","0.7",3
37,"How many course mates will the student from Problem L1 ask before getting his first tribesman, on average?","1.2","2","1.5","0.6","None of the above",1
38,"In a large book, the average number of errors per page is 2.5. What is the probability that a randomly selected page will contain no errors?","0.1333","0.6667","0.1821","0.0821","None of the above",3
39,"What is the probability that a randomly selected car is travelling at a speed greater than 30 km/h in Problem L2?","0.1056","0.8094","0.984","0.4878","None of the above",-1
40,"What percentage of drivers keep to the speed limit of 30 km/h in Problem L2?","0%,"89.44%","89.44%","10.56%","cannot be determined",-1
