Level,Semester,Course Code,Course Title,Course Area,Department,Faculty
100 Level,First Semester,GST112,Philosophy and Logic,Education and Political Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,CSC110,Introduction to Computing,Education and Political Science,Department of Educational Management,Faculty of Education
100 Level,Second Semester,EDU121,General Teaching Method,Education and Political Science,Department of Educational Management,Faculty of Education
100 Level,Second Semester,POL121,Basic forms and Organization of Government,Education and Political Science,Department of Educational Management,Faculty of Education
100 Level,Second Semester,POL122,Introduction to Government and Politics,Education and Political Science,Department of Educational Management,Faculty of Education
100 Level,Second Semester,ECO121,Principles of Economics II,Education and Political Science,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GST121,Peace Studies and Conflict Resolution,Education and Political Science,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GST122,Nigerian People and Culture,Education and Political Science,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GST123,History and Philosophy of Science,Education and Political Science,Department of Educational Management,Faculty of Education
100 Level,Second Semester,BUS121,Introduction to Business II,Education and Political Science,Department of Educational Management,Faculty of Education
200 Level,First Semester,EDU211,Developmental Psychology,Education and Political Science,Department of Educational Management,Faculty of Education
200 Level,First Semester,EDU212,Philosophy of Education,Education and Political Science,Department of Educational Management,Faculty of Education
200 Level,First Semester,POL211,Nigerian Government and Politics,Education and Political Science,Department of Educational Management,Faculty of Education
200 Level,First Semester,POL212,Political Ideology,Education and Political Science,Department of Educational Management,Faculty of Education
200 Level,First Semester,POL213,Introduction to Public Administration,Education and Political Science,Department of Educational Management,Faculty of Education
200 Level,First Semester,POL214,Introduction to Comparative Politics,Education and Political Science,Department of Educational Management,Faculty of Education
200 Level,First Semester,POL215,Introduction to Local Government,Education and Political Science,Department of Educational Management,Faculty of Education
200 Level,Second Semester,EDU221,Method of Teaching,Education and Political Science,Department of Educational Management,Faculty of Education
200 Level,Second Semester,EDU222,Sociology of Education,Education and Political Science,Department of Educational Management,Faculty of Education
200 Level,Second Semester,EDU223,Instructional Technology,Education and Political Science,Department of Educational Management,Faculty of Education
200 Level,Second Semester,POL221,Introduction to Political Analysis,Education and Political Science,Department of Educational Management,Faculty of Education
200 Level,Second Semester,POL222,Foundation of Political Economy,Education and Political Science,Department of Educational Management,Faculty of Education
200 Level,Second Semester,POL223,Introduction to International Relations,Education and Political Science,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDU300,Supervised Teaching Practice I,Education and Political Science,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDU311,Curriculum Studies,Education and Political Science,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDU312,Educational Psychology,Education and Political Science,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDU313,Integrated Social Studies,Education and Political Science,Department of Educational Management,Faculty of Education
300 Level,First Semester,POL312,History of Political Thought I,Education and Political Science,Department of Educational Management,Faculty of Education
300 Level,First Semester,POL313,Public Policy Analysis,Education and Political Science,Department of Educational Management,Faculty of Education
300 Level,First Semester,POL314,Politics of Development and Underdevelopment,Education and Political Science,Department of Educational Management,Faculty of Education
300 Level,First Semester,POL315,Theories of International Relations,Education and Political Science,Department of Educational Management,Faculty of Education
300 Level,Second Semester,EDU321,Introduction to Educational Research & Statistics,Education and Political Science,Department of Educational Management,Faculty of Education
300 Level,Second Semester,EDU322,Comparative Education,Education and Political Science,Department of Educational Management,Faculty of Education
300 Level,Second Semester,POL322,History of Political Thought II,Education and Political Science,Department of Educational Management,Faculty of Education
300 Level,Second Semester,POL323,Contemporary Political Analysis,Education and Political Science,Department of Educational Management,Faculty of Education
300 Level,Second Semester,POL324,Political Behaviour,Education and Political Science,Department of Educational Management,Faculty of Education
300 Level,Second Semester,POL325,Comparative Federalism,Education and Political Science,Department of Educational Management,Faculty of Education
300 Level,Second Semester,POL326,Politics of International Economics Relations,Education and Political Science,Department of Educational Management,Faculty of Education
300 Level,Second Semester,CED300,Entrepreneurship,Education and Political Science,Department of Educational Management,Faculty of education
400 Level,First Semester,EDU400,Supervised Teaching Practice,Education and Political Science,Department of Educational Management,Faculty of Education
400 Level,First Semester,EDU411,Measurement and Evaluation,Education and Political Science,Department of Educational Management,Faculty of Education
400 Level,First Semester,EDU412,Introduction to Education Management,Education and Political Science,Department of Educational Management,Faculty of Education
400 Level,First Semester,POL411,Civil-Military Relations,Education and Political Science,Department of Educational Management,Faculty of Education
400 Level,First Semester,POL412,Development Administration,Education and Political Science,Department of Educational Management,Faculty of Education
400 Level,First Semester,POL413,Third World and Dependency,Education and Political Science,Department of Educational Management,Faculty of Education
400 Level,First Semester,POL414,Nigerian Foreign Policy,Education and Political Science,Department of Educational Management,Faculty of Education
400 Level,First Semester,POL415,Public Personnel Administration,Education and Political Science,Department of Educational Management,Faculty of Education
400 Level,Second Semester,EDU421,Guidance and Counseling,Education and Political Science,Department of Educational Management,Faculty of Education
400 Level,Second Semester,EDU499,Project,Education and Political Science,Department of Educational Management,Faculty of Education
400 Level,Second Semester,POL421,Politics and Law in Africa,Education and Political Science,Department of Educational Management,Faculty of Education
400 Level,Second Semester,POL422,State and Economy,Education and Political Science,Department of Educational Management,Faculty of Education
400 Level,Second Semester,POL423,Politics and Inter-Governmental Relations,Education and Political Science,Department of Educational Management,Faculty of Education
400 Level,Second Semester,POL425,Comparative Public Administration,Education and Political Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,EDU111,History of Education,Educational Management,Department of Educational Management,Faculty of Education
100 Level,First Semester,EDM110,History of Educational Management,Educational Management,Department of Educational Management,Faculty of Education
100 Level,First Semester,EDM111,"Introduction to Educational Policies in Nigeria",Educational Management,Department of Educational Management,Faculty of Education
100 Level,First Semester,EDM114,Communication Skills in Education Management,Educational Management,Department of Educational Management,Faculty of Education
100 Level,First Semester,EDM115,Change and Innovative Process in Formal Edu.,Educational Management,Department of Educational Management,Faculty of Education
100 Level,First Semester,ECO111,Principles of Economics I (Micro),Educational Management,Department of Educational Management,Faculty of Education
100 Level,First Semester,POL111,Introduction to Political Science,Educational Management,Department of Educational Management,Faculty of Education
100 Level,First Semester,GST111,Use of English I,Educational Management,Department of Educational Management,Faculty of Education
100 Level,First Semester,GST112,Philosophy and Logic,Educational Management,Department of Educational Management,Faculty of Education
100 Level,First Semester,CSC110,Introduction to Computing,Educational Management,Department of Educational Management,Faculty of Education
100 Level,Second Semester,EDU121,General Teaching Method,Educational Management,Department of Educational Management,Faculty of Education
100 Level,Second Semester,EDM121,Principles of Supervision & Accountability,Educational Management,Department of Educational Management,Faculty of Education
100 Level,Second Semester,EDM122,Principalship,Educational Management,Department of Educational Management,Faculty of Education
100 Level,Second Semester,EDM123,Introduction to Administrative and Organizational Behavior,Educational Management,Department of Educational Management,Faculty of Education
100 Level,Second Semester,EDM124,School Community Relationship,Educational Management,Department of Educational Management,Faculty of Education
100 Level,Second Semester,EDM125,Statistical Method in Educational Management,Educational Management,Department of Educational Management,Faculty of Education
100 Level,Second Semester,ECO121,Principles of Economics II (Micro),Educational Management,Department of Educational Management,Faculty of Education
100 Level,Second Semester,POL121,Basic Forms and Organization of Government,Educational Management,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GST121,Peace Studies and Conflict Resolution,Educational Management,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GST122,Nigerian People and Culture,Educational Management,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GST123,History and Philosophy of Science,Educational Management,Department of Educational Management,Faculty of Education
200 Level,First Semester,EDU211,Developmental Psychology,Educational Management,Department of Educational Management,Faculty of Education
200 Level,First Semester,EDU212,Philosophy of Education,Educational Management,Department of Educational Management,Faculty of Education
200 Level,First Semester,EDM210,Introduction to Educational Management,Educational Management,Department of Educational Management,Faculty of Education
200 Level,First Semester,EDM211,Principles of Educational Management,Educational Management,Department of Educational Management,Faculty of Education
200 Level,First Semester,EDM212,Introduction to Interpersonal Relationship,Educational Management,Department of Educational Management,Faculty of Education
200 Level,First Semester,EDM213,"Management of Primary & Secondary Education",Educational Management,Department of Educational Management,Faculty of Education
200 Level,First Semester,EDM214,Fundamentals of Educational Planning,Educational Management,Department of Educational Management,Faculty of Education
200 Level,First Semester,EDM215,Planning Educational Facilities,Educational Management,Department of Educational Management,Faculty of Education
200 Level,First Semester,ECO213,Mathematics for Economists I,Educational Management,Department of Educational Management,Faculty of Education
200 Level,First Semester,POL212,Political Ideologies,Educational Management,Department of Educational Management,Faculty of Education
200 Level,Second Semester,EDU221,Method of Teaching,Educational Management,Department of Educational Management,Faculty of Education
200 Level,Second Semester,EDU222,Sociology of Education,Educational Management,Department of Educational Management,Faculty of Education
200 Level,Second Semester,EDU223,Instructional Technology,Educational Management,Department of Educational Management,Faculty of Education
200 Level,Second Semester,EDM220,Educational Policies in Nigeria,Educational Management,Department of Educational Management,Faculty of Education
200 Level,Second Semester,EDM221,"Programme Organization & Time Tabling",Educational Management,Department of Educational Management,Faculty of Education
200 Level,Second Semester,EDM224,Quantitative Analysis in Educational Management,Educational Management,Department of Educational Management,Faculty of Education
200 Level,Second Semester,ECO223,Mathematics for Economists II,Educational Management,Department of Educational Management,Faculty of Education
200 Level,Second Semester,POL222,Foundation of Political Economics,Educational Management,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDU300,Supervised Teaching Practice I,Educational Management,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDU311,Curriculum Studies,Educational Management,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDU312,Educational Psychology,Educational Management,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDU313,Integrated Social Studies,Educational Management,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDM310,"Problems and Issues in Planning Education in Nigeria",Educational Management,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDM312,Leadership in Formal Organization,Educational Management,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDM313,Project Management in Education Organization,Educational Management,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDM314,Human Resource Management,Educational Management,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDM315,Budget in Education,Educational Management,Department of Educational Management,Faculty of Education
300 Level,First Semester,ECO313,Econometrics I,Educational Management,Department of Educational Management,Faculty of Education
300 Level,First Semester,POL312,History of Political Thought I,Educational Management,Department of Educational Management,Faculty of Education
300 Level,Second Semester,EDU321,"Introduction to Educational Research & Statistics",Educational Management,Department of Educational Management,Faculty of Education
300 Level,Second Semester,EDU322,Comparative Education,Educational Management,Department of Educational Management,Faculty of Education
300 Level,Second Semester,EDM320,Economics of Education,Educational Management,Department of Educational Management,Faculty of Education
300 Level,Second Semester,EDM321,Education Supervision in Nigeria,Educational Management,Department of Educational Management,Faculty of Education
300 Level,Second Semester,EDM322,Educational Finance and Evaluation,Educational Management,Department of Educational Management,Faculty of Education
300 Level,Second Semester,EDM323,Introduction to Administrative Theory,Educational Management,Department of Educational Management,Faculty of Education
300 Level,Second Semester,EDM324,Educational Agencies,Educational Management,Department of Educational Management,Faculty of Education
300 Level,Second Semester,EDM325,"The Application of Educational Law to School Management",Educational Management,Department of Educational Management,Faculty of Education
300 Level,Second Semester,CED300,Entrepreneurship,Educational Management,Department of Educational Management,Faculty of Education
300 Level,Second Semester,ECO325,Econometrics II,Educational Management,Department of Educational Management,Faculty of Education
300 Level,Second Semester,POL322,History of Political Thought II,Educational Management,Department of Educational Management,Faculty of Education
400 Level,First Semester,EDU400,Supervised Teaching Practice,Educational Management,Department of Educational Management,Faculty of Education
400 Level,First Semester,EDU411,Measurement and Evaluation,Educational Management,Department of Educational Management,Faculty of Education
400 Level,First Semester,EDU412,Introduction to Education Management,Educational Management,Department of Educational Management,Faculty of Education
400 Level,First Semester,EDM410,Demographic Aspects of Educational Management,Educational Management,Department of Educational Management,Faculty of Education
400 Level,First Semester,EDM411,School business management,Educational Management,Department of Educational Management,Faculty of Education
400 Level,First Semester,EDM412,Educational Cost and Financial Management,Educational Management,Department of Educational Management,Faculty of Education
400 Level,First Semester,EDM413,Personnel Management and Evaluation,Educational Management,Department of Educational Management,Faculty of Education
400 Level,First Semester,EDM414,"National and International Perspective in Educational Mgt.",Educational Management,Department of Educational Management,Faculty of Education
400 Level,First Semester,ECO412,History of Economic Thought,Educational Management,Department of Educational Management,Faculty of Education
400 Level,First Semester,POL412,Contemporary Nigerian Government & Politics,Educational Management,Department of Educational Management,Faculty of Education
400 Level,Second Semester,EDU421,Guidance and Counseling,Educational Management,Department of Educational Management,Faculty of Education
400 Level,Second Semester,EDU499,Project,Educational Management,Department of Educational Management,Faculty of Education
400 Level,Second Semester,EDM420,Education Systems Analysis,Educational Management,Department of Educational Management,Faculty of Education
400 Level,Second Semester,EDM421,"Emerging Problems in Nigeria Education",Educational Management,Department of Educational Management,Faculty of Education
400 Level,Second Semester,EDM422,Policy Analysis in Educational Management,Educational Management,Department of Educational Management,Faculty of Education
400 Level,Second Semester,EDM423,Office Management and Record Keeping,Educational Management,Department of Educational Management,Faculty of Education
400 Level,Second Semester,ECO424,Public Sector Economics,Educational Management,Department of Educational Management,Faculty of Education
400 Level,Second Semester,POL424,Federalism and Intergovernmental Relations,Educational Management,Department of Educational Management,Faculty of Education
100 Level,First Semester,EDU111,History of Education,Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,LIS111,Information in Libraries and Society,Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,LIS112,Introduction to Library & Information Resources,Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,LIS113,History of Libraries and Information Centres,Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,LIS114,Library and Information Centre Visit,Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,LIS115,"Introduction to Cataloguing & Classification",Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,FOL116,Introduction to Practical French,Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,GST111,Use of English I,Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,GST112,Philosophy and Logic,Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,CSC110,Introduction to Computing,Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,Second Semester,LIS124,Library Routine,Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,Second Semester,LIS125,Information and Development,Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,Second Semester,LIS126,"Introduction to Library & Information Studies",Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,Second Semester,LIS127,Introduction to Information Science,Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,Second Semester,LIS128,Introduction to internet and web design,Library and Information Science,Department of Educational Management,Faculty of Education
